,latitude,longitude
0,40.647490000000005,-73.97237
1,40.75362,-73.98376999999999
2,40.809020000000004,-73.9419
3,40.685140000000004,-73.95976
4,40.79851,-73.94399
5,40.74767,-73.975
6,40.68688,-73.95596
7,40.76489,-73.98493
8,40.80178,-73.96723
9,40.713440000000006,-73.99037
10,40.80316,-73.96545
11,40.76076,-73.98867
12,40.66829,-73.98779
13,40.79826,-73.96113000000001
14,40.7353,-74.00525
15,40.70837,-73.95352
16,40.69169,-73.97185
17,40.74192,-73.99501
18,40.67592,-73.94694
19,40.79685,-73.94872
20,40.71842,-73.95718000000001
21,40.680690000000006,-73.97706
22,40.67989,-73.97798
23,40.680009999999996,-73.97865
24,40.68371,-73.94028
25,40.65599,-73.97519
26,40.867540000000005,-73.92639
27,40.76715,-73.98533
28,40.86482,-73.92106
29,40.7292,-73.98541999999999
30,40.82245,-73.95104
31,40.81305,-73.95466
32,40.722190000000005,-73.93762
33,40.8213,-73.95318
34,40.6831,-73.95473
35,40.668690000000005,-73.9878
36,40.688759999999995,-73.94312
37,40.701859999999996,-73.92745
38,40.63702,-73.96327
39,40.714009999999995,-73.98917
40,40.7229,-73.98199
41,40.66278,-73.97966
42,40.69673,-73.97584
43,40.79009,-73.97927
44,40.81175,-73.94478000000001
45,40.659440000000004,-73.96238000000001
46,40.74771,-73.9474
47,40.68111,-73.95591
48,40.68554,-73.9409
49,40.69142,-73.97376
50,40.68043,-73.93934
51,40.78635,-73.97008000000001
52,40.7042,-73.9356
53,40.73506,-73.95392
54,40.73961,-73.98074
55,40.70881,-73.9593
56,40.720040000000004,-73.99104
57,40.755309999999994,-73.99293
58,40.72401,-73.93788
59,40.7221,-73.99775
60,40.71185,-73.96204
61,40.74623,-73.9953
62,40.77065,-73.95269
63,40.67811,-73.96428
64,40.69,-73.96788000000001
65,40.75979,-73.99119
66,40.673429999999996,-73.98338000000001
67,40.726490000000005,-73.97904
68,40.70933,-73.96791999999999
69,40.72298,-73.98474
70,40.80164,-73.93921999999999
71,40.72162,-73.98008
72,40.76342,-73.98865
73,40.83139,-73.94095
74,40.68346,-73.96374
75,40.72828,-73.98801
76,40.76865,-73.95058
77,40.75038,-73.90334
78,40.6932,-73.97267
79,40.74138,-74.00197
80,40.71154,-73.96112
81,40.82915,-73.95136
82,40.718509999999995,-73.98892
83,40.65401,-73.96323000000001
84,40.7114,-73.98794000000001
85,40.69723,-73.99268000000001
86,40.71833,-73.95748
87,40.72334,-73.9844
88,40.72912,-73.98057
89,40.71156,-73.96218
90,40.70032,-73.9383
91,40.68233,-73.97261
92,40.68634,-73.96600000000001
93,40.68035,-73.97162
94,40.70984,-73.95775
95,40.70093,-73.92609
96,40.79764,-73.96177
97,40.82803,-73.94731
98,40.74008,-74.00271
99,40.684129999999996,-73.92357
100,40.822790000000005,-73.95139
101,40.67967,-74.00154
102,40.83927,-73.94281
