,latitude,longitude
32010,40.83413,-73.92918
32011,40.7464,-73.99701
32012,40.67899,-74.00089
32013,40.76201,-73.99099
32014,40.71649,-73.95475
32015,40.669979999999995,-73.94702
32016,40.78877,-73.94646999999999
32017,40.57569,-73.95891999999999
32018,40.80083,-73.93778
32019,40.68845,-73.91878
32020,40.75809,-73.8693
32021,40.8801,-73.89709
32022,40.83688,-73.85584
32023,40.54639,-74.13705999999999
32024,40.709959999999995,-73.96129
32025,40.68375,-73.97839
32026,40.67901,-73.78876
32027,40.69047,-73.9605
32028,40.76106,-73.81279
32029,40.67901,-73.89224
32030,40.71529,-73.99088
32031,40.79844,-73.94747
32032,40.725609999999996,-73.97622
32033,40.74153,-73.9797
32034,40.713390000000004,-73.98684
32035,40.71329,-73.99602
32036,40.69197,-73.92795
32037,40.669540000000005,-73.80601
32038,40.814440000000005,-73.94385
32039,40.72238,-73.99466
32040,40.67988,-73.89201
32041,40.82263,-73.95181
32042,40.78371,-73.97358
32043,40.684290000000004,-73.92952
32044,40.75678,-73.99356999999999
32045,40.68593,-73.95702
32046,40.78802,-73.96925999999999
32047,40.69365,-73.96511
32048,40.724579999999996,-73.98822
32049,40.72852,-74.00151
32050,40.70388,-73.92529
32051,40.718540000000004,-74.00352
32052,40.65907,-73.99887
32053,40.68569,-73.9143
32054,40.71937,-73.99202
32055,40.72547,-73.98401
32056,40.88485,-73.89756
32057,40.72606,-73.97913
32058,40.68778,-73.90748
32059,40.69924,-73.99303
32060,40.79725,-73.93311
32061,40.6724,-73.87640999999999
32062,40.680609999999994,-73.93642
32063,40.66154,-73.88874
32064,40.74523,-73.97334000000001
32065,40.77277,-73.94965
32066,40.68241,-73.97719000000001
32067,40.63816,-73.91443000000001
32068,40.689840000000004,-73.98416
32069,40.69401,-73.94785
32070,40.688340000000004,-73.82624
32071,40.67757,-73.97017
32072,40.68441,-73.9401
32073,40.723729999999996,-74.00551999999999
32074,40.82996,-73.9449
32075,40.716120000000004,-74.01054
32076,40.84115,-73.94095
32077,40.69915,-73.9962
32078,40.6397,-73.96554
32079,40.79629,-73.96523
32080,40.70498,-73.90023000000001
32081,40.8067,-73.94481
32082,40.6429,-73.96876999999999
32083,40.819309999999994,-73.956
32084,40.730579999999996,-74.0021
32085,40.79282,-73.97353000000001
32086,40.777879999999996,-73.96114
32087,40.77017,-73.95365
32088,40.68244,-73.93908
32089,40.83298,-73.94800000000001
32090,40.718090000000004,-74.01205
32091,40.72718,-73.9843
32092,40.67218,-73.97774
32093,40.73075,-73.98114
32094,40.80973,-73.9457
32095,40.67208,-73.94071
32096,40.64351,-73.95167
32097,40.71869,-73.95487
32098,40.72228,-73.98584
32099,40.7191,-73.94408
32100,40.75996,-73.99223
32101,40.687909999999995,-73.92256
32102,40.6882,-73.94444
32103,40.72015,-73.96117
32104,40.70987,-73.94221999999999
32105,40.830220000000004,-73.83286
32106,40.71325,-73.98510999999999
32107,40.73646,-73.98853000000001
32108,40.8163,-73.95262
32109,40.709070000000004,-74.01371
32110,40.76243,-73.99316
32111,40.80173,-73.94035
32112,40.819359999999996,-73.95788
32113,40.78074,-73.94811
32114,40.69787,-73.93091
32115,40.76723,-73.92317
32116,40.80068,-73.94598
32117,40.70791,-74.00529
32118,40.716029999999996,-73.96417
32119,40.75184,-73.97301999999999
32120,40.82675,-73.9463
32121,40.68057,-73.95249
32122,40.82493,-73.93825
32123,40.80403,-73.96479000000001
32124,40.7997,-73.97073
32125,40.76097,-73.99959
32126,40.68242,-73.90941
32127,40.71445,-73.96200999999999
32128,40.58033,-73.9657
32129,40.7446,-73.92342
32130,40.72717,-73.95688
32131,40.75581,-73.96605
32132,40.82927,-73.94272
32133,40.78824,-73.84056
32134,40.73587,-73.8616
32135,40.81385,-73.9614
32136,40.67808,-73.98074
32137,40.68432,-73.96025999999999
32138,40.68316,-73.91637
32139,40.70537,-73.88899
32140,40.59644,-74.08279
32141,40.75888,-73.99101999999999
32142,40.65889,-73.95626999999999
32143,40.71865,-73.98982
32144,40.803709999999995,-73.94991
32145,40.70847,-73.94426
32146,40.68423,-73.94125
32147,40.80343,-73.96795999999999
32148,40.686859999999996,-73.95425999999999
32149,40.78589,-73.9487
32150,40.6882,-73.95381
32151,40.71839,-73.99834
32152,40.717659999999995,-73.95348
32153,40.73675,-73.95443
32154,40.69823,-73.97357
32155,40.81185,-73.93902
32156,40.8004,-73.96866999999999
32157,40.72266,-73.98148
32158,40.77598,-73.92251999999999
32159,40.58809,-73.79387
32160,40.79523,-73.94230999999999
32161,40.79714,-73.93685
32162,40.58794,-73.81579
32163,40.715720000000005,-73.94161
32164,40.703759999999996,-73.93519
32165,40.76798,-73.92323
32166,40.77002,-73.92331999999999
32167,40.782090000000004,-73.97598
32168,40.77495,-73.94832
32169,40.67431,-73.94065
32170,40.731790000000004,-73.98794000000001
32171,40.67018,-73.88866999999999
32172,40.65467,-73.94967
32173,40.76996,-73.9539
32174,40.76182,-73.90621999999999
32175,40.749,-73.99466
32176,40.67589,-73.95525
32177,40.69988,-73.89504000000001
32178,40.75377,-73.96609000000001
32179,40.67155,-73.98373000000001
32180,40.64333,-73.92526
32181,40.68813,-73.94045
32182,40.71893,-73.8761
32183,40.73568,-73.97998
32184,40.79372,-73.93552
32185,40.69317,-73.93003
32186,40.75971,-73.98639
32187,40.68942,-73.90918
32188,40.68456,-73.92489
32189,40.76161,-73.89026
32190,40.774190000000004,-73.9872
32191,40.73153,-73.98515
32192,40.72613,-73.95676
32193,40.77701,-73.97667
32194,40.727540000000005,-73.95674
32195,40.71901,-73.94978
32196,40.7052,-74.00961
32197,40.72759,-73.98047
32198,40.70493,-74.0065
32199,40.70375,-74.00806999999999
32200,40.70001,-73.92595
32201,40.67835,-74.01394
32202,40.80142,-73.9575
32203,40.70465,-74.00761999999999
32204,40.67425,-73.82018000000001
32205,40.77646,-73.96025999999999
32206,40.68273,-73.91651
32207,40.679970000000004,-73.95052
32208,40.70803,-74.00502
32209,40.54896,-74.14246
32210,40.76596,-73.98926
32211,40.74123,-74.00548
32212,40.54889,-74.14199
32213,40.68195,-73.94827
32214,40.72787,-73.98844
32215,40.6509,-73.96266
32216,40.73873,-73.88147
32217,40.73552,-73.99719
32218,40.68327,-73.92411
32219,40.67638,-73.98278
32220,40.763059999999996,-73.99015
32221,40.679559999999995,-73.93806
32222,40.73675,-73.998
32223,40.636520000000004,-73.89856
32224,40.6408,-74.08097
32225,40.75533,-73.91936
32226,40.73499,-73.95513000000001
32227,40.621390000000005,-74.0319
32228,40.86866,-73.92472
32229,40.70367,-73.91063
32230,40.7286,-73.98334
32231,40.787690000000005,-73.94691
32232,40.825,-73.95181
32233,40.722770000000004,-73.99524
32234,40.6811,-73.94541
32235,40.867340000000006,-73.92102
32236,40.693940000000005,-73.92971999999999
32237,40.68081,-73.9729
32238,40.61006,-73.99902
32239,40.68074,-73.89157
32240,40.6791,-73.9096
32241,40.6993,-73.90825
32242,40.736309999999996,-73.97511999999999
32243,40.71886,-73.94054
32244,40.81759,-73.94385
32245,40.69104,-73.9258
32246,40.76272,-73.98898
32247,40.73507,-73.95229
32248,40.692840000000004,-73.96065
32249,40.71754,-73.95906
32250,40.82617,-73.82073000000001
32251,40.79938,-73.94698000000001
32252,40.6417,-73.97365
32253,40.72765,-73.98669
32254,40.73133,-74.00461
32255,40.80149,-73.96375
32256,40.70238,-73.92886
32257,40.76457,-73.97518000000001
32258,40.8659,-73.92869
32259,40.75178,-73.93973000000001
32260,40.729409999999994,-74.00317
32261,40.67163,-73.88898
32262,40.77288,-73.94745
32263,40.66918,-73.9475
32264,40.774159999999995,-73.9501
32265,40.77182,-73.92867
32266,40.63584,-74.00578
32267,40.63404,-74.0072
32268,40.76269,-73.98954
32269,40.797470000000004,-73.94836
32270,40.642540000000004,-73.99759
32271,40.75096,-73.88423
32272,40.72967,-73.98668
32273,40.75439,-73.97339000000001
32274,40.78818,-73.97057
32275,40.692640000000004,-73.98541999999999
32276,40.71024,-73.94933
32277,40.69464,-73.94963
32278,40.86681,-73.84073000000001
32279,40.659859999999995,-73.99684
32280,40.701190000000004,-73.91368
32281,40.72469,-73.97892
32282,40.70361,-73.942
32283,40.74098,-73.99744
