,latitude,longitude
16002,40.68633,-73.93557
16003,40.6898,-73.91774000000001
16004,40.719809999999995,-73.99154
16005,40.86612,-73.9189
16006,40.69021,-73.92206999999999
16007,40.76222,-73.99889
16008,40.69024,-73.92197
16009,40.70196,-73.98297
16010,40.76455,-73.99128
16011,40.65254,-73.98017
16012,40.7029,-73.9296
16013,40.68645,-73.93994
16014,40.70219,-73.9227
16015,40.80045,-73.96119
16016,40.7453,-73.99333
16017,40.818059999999996,-73.95374
16018,40.70017,-73.94357
16019,40.691829999999996,-73.99592
16020,40.72311,-73.94489
16021,40.76635,-73.95683000000001
16022,40.83018,-73.9483
16023,40.85396,-73.89872
16024,40.70944,-73.9492
16025,40.77998,-73.98018
16026,40.773740000000004,-73.91903
16027,40.709509999999995,-74.01476
16028,40.70267,-73.92383000000001
16029,40.728590000000004,-73.98348
16030,40.72501,-73.98776
16031,40.638329999999996,-74.01794
16032,40.76504,-73.99491
16033,40.76591,-73.93434
16034,40.849090000000004,-73.93829000000001
16035,40.57093,-74.12429
16036,40.718270000000004,-73.95494000000001
16037,40.798320000000004,-73.96291
16038,40.76319,-73.98693
16039,40.73737,-73.99475
16040,40.78528,-73.97111
16041,40.78116,-73.98104000000001
16042,40.71559,-73.96385
16043,40.65255,-73.96226999999999
16044,40.69093,-73.96507
16045,40.74933,-73.97936999999999
16046,40.72075,-73.89496
16047,40.80077,-73.9681
16048,40.71772,-73.98881999999999
16049,40.72143,-73.8932
16050,40.72103,-73.89458
16051,40.705420000000004,-73.82979
16052,40.675,-73.96406
16053,40.65421,-73.95945
16054,40.64748,-73.99802
16055,40.7001,-73.94326
16056,40.70101,-73.92505
16057,40.70725,-74.00206
16058,40.691159999999996,-73.96039
16059,40.77301,-73.95045
16060,40.80121,-73.96276999999999
16061,40.68622,-73.91026
16062,40.65256,-73.9798
16063,40.73547,-73.9545
16064,40.71884,-73.99294
16065,40.77219,-73.95588000000001
16066,40.72113,-73.95574
16067,40.822720000000004,-73.95144
16068,40.6617,-73.98221
16069,40.702040000000004,-73.91068
16070,40.70435,-73.91207
16071,40.86032,-73.88493000000001
16072,40.74711,-73.99280999999999
16073,40.74583,-74.00451
16074,40.76039,-73.99028
16075,40.81488,-73.95886
