,latitude,longitude
24006,40.726859999999995,-73.97864
24007,40.63142,-73.97154
24008,40.903909999999996,-73.85311999999999
24009,40.780809999999995,-73.82005
24010,40.71992,-73.99251
24011,40.70962,-73.80615999999999
24012,40.69891,-73.98473
24013,40.67811,-74.00102
24014,40.70988,-73.80691
24015,40.70848,-73.80606999999999
24016,40.81783,-73.95345999999999
24017,40.72635,-74.00298000000001
24018,40.661970000000004,-73.9543
24019,40.72036,-73.97889
24020,40.6692,-73.9359
24021,40.7328,-74.00845
24022,40.7417,-74.00229
24023,40.754740000000005,-73.82166
24024,40.78119,-73.9462
24025,40.745090000000005,-73.89649
24026,40.692009999999996,-73.95795
24027,40.67392,-73.88892
24028,40.74625,-73.99911
24029,40.692240000000005,-73.95819
24030,40.64156,-73.93177
24031,40.68618,-73.96179000000001
24032,40.63609,-73.96687
24033,40.7291,-73.99246
24034,40.82186,-73.94624
24035,40.72489,-73.98956
24036,40.84118,-73.93697
24037,40.79205,-73.97261999999999
24038,40.68936,-73.94189
24039,40.71195,-74.00757
24040,40.76833,-73.95581
24041,40.71487,-73.94524
24042,40.740120000000005,-74.00364
24043,40.76065,-73.90905
24044,40.67602,-73.96593
24045,40.687670000000004,-73.95495
24046,40.7476,-73.99348
24047,40.74538,-73.94747
24048,40.666579999999996,-73.95167
24049,40.75712,-73.8122
24050,40.760740000000006,-73.94943
24051,40.68326,-73.92448
24052,40.71152,-73.93902
24053,40.75636,-73.92699999999999
24054,40.80369,-73.94856999999999
24055,40.73832,-73.90669
24056,40.70642,-73.92739
24057,40.838029999999996,-73.94421
24058,40.68254,-73.99207
24059,40.72034,-73.98617
24060,40.79179,-73.94506
24061,40.73519,-73.90271
24062,40.65653,-73.95786
24063,40.85471,-73.93016
24064,40.79503,-73.96715
24065,40.67398,-73.92787
24066,40.73852,-74.00269
24067,40.69257,-73.94657
24068,40.67835,-73.9908
24069,40.75548,-73.9951
24070,40.8101,-73.94021
24071,40.72403,-74.00858000000001
24072,40.80138,-73.94413
24073,40.669290000000004,-73.89079
24074,40.72412,-73.95260999999999
24075,40.802209999999995,-73.96514
24076,40.6834,-73.92035
24077,40.715270000000004,-73.95945999999999
24078,40.6719,-73.93475
24079,40.76064,-73.97066
24080,40.7483,-74.00031
24081,40.74818,-73.97537
24082,40.74843,-73.97715
